significant psilocybin effect,OUTCOME
significant effects,OUTCOME
psilocybin,DRUG
niacin-induced reduction of diastolic BP did not persist,OUTCOME
adverse psychological effects,OUTCOME
tolerated the treatment sessions well,OUTCOME
anxiety,HEALTH
bad trip,OUTCOME
psilocybin,DRUG
modest effects,OUTCOME
ego dissolution,SUBJECTIVE
hallucinogens,DRUG
terminal cancer,HEALTH
profound psychospiritual experience,OUTCOME
"therapeutic outcome.10,12",OUTCOME
transcendent states of consciousness,SUBJECTIVE
hallucinogens,DRUG
efficacy,OUTCOME
examining how Common illness had impacted Common lives,OUTCOME
relationships with family and close friends,OUTCOME
sense of ontological security,OUTCOME
powerful empathic cathexis to close friends and family members,OUTCOME
how subjects wished to address subjects limited life expectancy,OUTCOME
new perspectives gained,OUTCOME
psilocybin,DRUG
pronounced therapeutic effects,OUTCOME
psilocybin,DRUG
therapeutic benefit,OUTCOME
anxiety,HEALTH
anxiety,HEALTH
stress,HEALTH
anxiety,HEALTH
anxiety,HEALTH
Mood,OUTCOME
psilocybin,DRUG
mood,OUTCOME
psilocybin,DRUG
positive outcome,OUTCOME
psilocybin,DRUG
psilocybin,DRUG
psilocybin,DRUG
psilocybin,DRUG
psilocybin,DRUG
mood-elevating effects,OUTCOME
psilocybin,DRUG
robust reductions in pain perception,OUTCOME
lessened need for narcotic pain medication,OUTCOME
lessened pain,OUTCOME
psilocybin,DRUG
psilocybin,DRUG
pain,OUTCOME
psilocybin,DRUG
placebo sessions were perceived as far less worthwhile than those with psilocybin,OUTCOME
psilocybin,DRUG
psilocybin,DRUG
therapeutic effects,OUTCOME
psilocybin,DRUG
strong therapeutic bonds,OUTCOME
ameliorating underlying psychological demoralization,OUTCOME
psilocybin,DRUG
alternative model for the treatment of conditions that are often minimally responsive,OUTCOME
existential anxiety,HEALTH
despair,HEALTH
advanced-stage cancers,HEALTH
psilocybin,DRUG
hallucinogen,DRUG
safety and promise,OUTCOME
hallucinogenic compounds,DRUG
psilocybin,DRUG
LSD,DRUG
LSD,DRUG
LSD,DRUG
Hofmann,DRUG
LSD,DRUG
LSD,DRUG
LSD,DRUG
LSD,DRUG
…,DRUG
LSD,DRUG
positive therapeutic effects,OUTCOME
psychedelics,DRUG
positive therapeutic effects,OUTCOME
psychedelics,DRUG
psilocybin,DRUG
LSD,DRUG
depression,HEALTH
anxiety,HEALTH
neurochemical effects,NEURAL
neuroadaptation,NEURAL
mystical experience,SUBJECTIVE
mystical experiences,SUBJECTIVE
greatest symptom improvement,OUTCOME
mystical experience,SUBJECTIVE
neurochemical correlates,NEURAL
mystical experience,SUBJECTIVE
neurochemical correlates,NEURAL
mystical experience,SUBJECTIVE
neurochemical correlates,OUTCOME
mystical experience,SUBJECTIVE
neurochemical correlates,OUTCOME
therapeutic improvement,OUTCOME
brain function,NEURAL
depression,HEALTH
anxiety,HEALTH
addictive disorders,HEALTH
brain connectivity,NEURAL
psychedelic,DRUG
affective disorders,HEALTH
brain function,NEURAL
brain function,NEURAL
therapeutic improvement,OUTCOME
therapeutic improvement,OUTCOME
anxiety,HEALTH
depression,HEALTH
psilocybin,DRUG
LSD,DRUG
overt measureable changes in brain function or connectivity,OUTCOME
therapeutic improvement,OUTCOME
psychiatric disorders,HEALTH
psychedelics,DRUG
psychedelics,DRUG
psilocybin,DRUG
treatment-resistant depression,HEALTH
psilocybin,DRUG
therapeutic efficacy,OUTCOME
psilocybin,DRUG
remission,OUTCOME
remained in remission,OUTCOME
psilocybin,DRUG
favourable toxicity profile,OUTCOME
not associated with compulsive drug-seeking behaviours,OUTCOME
psilocybin,DRUG
depression,HEALTH
depression,HEALTH
therapeutic effect,OUTCOME
therapeutic effect,OUTCOME
psilocybin,DRUG
relative effects,OUTCOME
psilocybin,DRUG
depression,HEALTH
ketamine,DRUG
antidepressant effects,OUTCOME
psilocybin,DRUG
psychiatric conditions,HEALTH
smokers,HEALTH
abstinence from smoking,OUTCOME
psilocybin,DRUG
Alcohol-dependent patients,HEALTH
reduced drinking behaviours,OUTCOME
psilocybin,DRUG
anxiety,HEALTH
depression,HEALTH
psilocybin,DRUG
anxiety,HEALTH
cancer,HEALTH
improvements in wellbeing,OUTCOME
psilocybin,DRUG
Rapid and enduring decreases in depressive symptoms,OUTCOME
ayahuasca,DRUG
clinical improvements,OUTCOME
no serious or unexpected adverse reactions,OUTCOME
enduring improvements,OUTCOME
relapse at 3 months,OUTCOME
some improvement in all patients depressive symptoms,OUTCOME
expectancy bias,OUTCOME
Psychedelics,DRUG
promote suggestibility,OUTCOME
enhanced positive outcomes,OUTCOME
expectancy,OUTCOME
suggestibility,OUTCOME
psychedelic,DRUG
expectancy,OUTCOME
suggestibility,OUTCOME
Serotonergic antidepressants,ANTIDEPRESSANT_DRUG
down-regulate the primary receptor target,OUTCOME
psilocybin,DRUG
5-HT 2A receptor,NEURAL
attenuated subjective responses,OUTCOME
psychedelics,DRUG
serotonergic antidepressants,ANTIDEPRESSANT_DRUG
antidepressant,ANTIDEPRESSANT_DRUG
psilocybin,DRUG
psilocybin,DRUG
unipolar treatment-resistant depression,HEALTH
reductions in symptom severity,OUTCOME
Psilocybin,DRUG
novel pharmacological action,OUTCOME
depression,HEALTH
5-HT 2A receptor agonism,NEURAL
depression,HEALTH
significant and consistent outcomes,OUTCOME
Psilocybin,DRUG
decreased brain blood flow and venous oxygenation,OUTCOME
venous oxygenation subjective effects,OUTCOME
decreased the positive coupling of two key structural hubs (the mPFC and the PCC),OUTCOME
brain,NEURAL
psychedelic,DRUG
psilocybin,DRUG
resting-state brain activity,NEURAL
global increase in glucose metabolism,OUTCOME
psilocybin,DRUG
glucose metabolism,NEURAL
psilocybin,DRUG
phasic or short-term effects,OUTCOME
psilocybin,DRUG
longer-term changes in glucose metabolism,OUTCOME
psilocybin,DRUG
decrease neural activity,OUTCOME
decreases in resting state LFP power,OUTCOME
psilocybin,DRUG
psychedelics,DRUG
increasing neural activity,OUTCOME
Psilocin,DRUG
serotonin receptor agonist,NEURAL
subjective and behavioral effects,OUTCOME
psychedelics,DRUG
"stimulation of serotonin (5-Hydroxytryptamine, 5-HT) 2A receptors",NEURAL
deactivations observed,OUTCOME
of 5-HT receptors,NEURAL
5-HT2A,NEURAL
psychedelics,DRUG
5-HT2A receptor,NEURAL
5-HT2A receptor potency,NEURAL
5-HT2A antagonists,NEURAL
block the subjective effects,OUTCOME
psychedelics,DRUG
stimulation of 5-HT2A receptors,NEURAL
GABAergic transmission,NEURAL
pyramidal cell inhibition,NEURAL
serotonergic compounds,DRUG
5-HT receptors,NEURAL
5-HT2C,NEURAL
5-HT1A receptor,NEURAL
5-HT2A receptors,NEURAL
cortical regions that were significantly deactivated and decoupled,OUTCOME
psilocybin,DRUG
Stimulation of the 5-HT2A receptor,NEURAL
increases excitation in the host cell,OUTCOME
potassium currents,NEURAL
5-HT2A receptor,NEURAL
observed deactivations,OUTCOME
5-HT2A receptor,OUTCOME
5-HT2A-induced excitation of fast-spiking interneurons terminating on pyramidal cells,OUTCOME
5-HT2A-induced excitation,NEURAL
pyramidal cells,NEURAL
interneurons,NEURAL
receptor,NEURAL
most consistent deactivations,OUTCOME
psilocybin,DRUG
PCC,NEURAL
mPFC,NEURAL
disproportionately high activity under normal conditions,OUTCOME
metabolism,NEURAL
PCC,NEURAL
brain,NEURAL
psilocybin,DRUG
decreased the PCC blood flow,OUTCOME
PCC,NEURAL
PCC,NEURAL
PCC,NEURAL
PCC,NEURAL
default-mode network,NEURAL
DMN,NEURAL
PCC,NEURAL
default-mode network,NEURAL
DMN,NEURAL
role in consciousness,OUTCOME
high-level constructs,OUTCOME
self,SUBJECTIVE
ego,SUBJECTIVE
DMN,NEURAL
self-referencing,SUBJECTIVE
DMN,NEURAL
brain,NEURAL
DMN,NEURAL
connector hubs,OUTCOME
efficient information transfer,OUTCOME
brain,NEURAL
allowing communication between different regions,OUTCOME
integrative function,OUTCOME
integrative function deactivation,OUTCOME
profound effect on consciousness,OUTCOME
psilocybin,DRUG
brain,NEURAL
DMN,NEURAL
maintenance of cognitive integration and constraint under normal conditions,OUTCOME
mind,NEURAL
brain,NEURAL
constrain its experience of the world,OUTCOME
decreases in the positive coupling between the PCC and mPFC,OUTCOME
psilocybin,DRUG
PCC,NEURAL
mPFC,NEURAL
decrease in the (backward or top-down) connectivity,OUTCOME
prefrontal,NEURAL
parietal regions,NEURAL
increase in the reciprocal (forward or bottom-up) direction,OUTCOME
parietal,NEURAL
prefrontal regions,NEURAL
asymmetrical change in coupling,OUTCOME
psilocybin,DRUG
reduction in the sensitivity of superficial pyramidal cells,OUTCOME
parietal region,NEURAL
increase in the influence of parietal regions on prefrontal activity,OUTCOME
perturbation in reciprocal coupling,OUTCOME
rebalancing of hierarchical activity in distributed high-level modes,OUTCOME
psychedelics,DRUG
psychiatric disorders,HEALTH
mPFC,NEURAL
depression,HEALTH
mPFC was consistently deactivated,OUTCOME
psilocybin,DRUG
subjective effects,OUTCOME
Depression,HEALTH
“overstable” state,SUBJECTIVE
cognition is rigidly pessimistic,OUTCOME
deficient 5-HT2A receptor stimulation,NEURAL
mPFC,NEURAL
mPFC hyperactivity,NEURAL
psilocybin,DRUG
subjective well-being,OUTCOME
trait openness,OUTCOME
depression,HEALTH
terminal cancer patients,HEALTH
psilocybin,DRUG
decreased mPFC activity via 5-HT2A receptor stimulation,OUTCOME
psilocybin,DRUG
depression,HEALTH
decreased CBF in the hypothalamus,OUTCOME
psilocybin,DRUG
psychedelics,DRUG
cluster headaches,HEALTH
Increased hypothalamic CBF,OUTCOME
cluster headache sufferers,HEALTH
inhibition of the hypothalamus via direct electrical stimulation,OUTCOME
therapeutic relief,OUTCOME
brain,NEURAL
psilocybin,DRUG
psychedelic state,SUBJECTIVE
brain,NEURAL
decreased activity and connectivity in the brain's connector hubs,OUTCOME
unconstrained style of cognition,OUTCOME
psilocybin,DRUG
"rapid, robust, and sustained clinical benefits",OUTCOME
anxiety,HEALTH
depression,HEALTH
cancer,HEALTH
immediate anti-depressant and anxiolytic effects,OUTCOME
enduring (e.g. weeks to months,OUTCOME
clinical benefits,OUTCOME
clinical benefits,OUTCOME
cancer-related anxiety,HEALTH
depression,HEALTH
psilocybin,DRUG
cancer-related anxiety,HEALTH
depression,HEALTH
psilocybin,DRUG
psilocybin,DRUG
anti-depressant effects,OUTCOME
psilocybin,DRUG
psilocybin,DRUG
treatment-resistant depression,HEALTH
psilocybin,DRUG
psilocybin,DRUG
anti-depressant effects,OUTCOME
psilocybin,DRUG
anxiety,HEALTH
depression,HEALTH
psilocybin,DRUG
psilocybin,DRUG
psilocybin,DRUG
psilocybin,DRUG
rapid anti-depressant and anxiolytic clinical benefits,OUTCOME
clinical improvements in anxiety,OUTCOME
depression,HEALTH
clinical outcomes,OUTCOME
psilocybin,DRUG
psilocybin,DRUG
psilocybin,DRUG
Psilocybin,DRUG
anti-depressant response rates,OUTCOME
efficacy,OUTCOME
anti-depressants,DRUG
cancer-related depression,HEALTH
anti-depressants,DRUG
major depressive disorder,HEALTH
cancer,HEALTH
anti-depressants,DRUG
AIDS,HEALTH
cancer,HEALTH
anti-depressants,OUTCOME
Psilocybin,DRUG
cancer-related demoralization,OUTCOME
loss of meaning,SUBJECTIVE
desire for hastened death,OUTCOME
hopelessness,OUTCOME
improving spiritual wellbeing,OUTCOME
quality of life,OUTCOME
advanced or terminal cancer,HEALTH
existential/spiritual distress,OUTCOME
decreased quality of life,OUTCOME
increased depressive and anxiety symptoms,OUTCOME
increased desire for hastened death,OUTCOME
increased suicidal ideation,OUTCOME
improving spiritual wellbeing,OUTCOME
anxiety,HEALTH
psilocybin,DRUG
improved attitudes and adaptations to death,OUTCOME
Psilocybin,DRUG
highly meaningful and spiritual,OUTCOME
"positive cognitive, affective, spiritual, and behavioral effects",OUTCOME
psilocybin,DRUG
serious AEs,OUTCOME
psilocybin,DRUG
psilocybin,DRUG
psychiatric serious AEs,HEALTH
HPPD,OUTCOME
serotoninergic psychedelics,DRUG
psilocybin,DRUG
increased rates of mental illness,OUTCOME
transient difficult psychological states,OUTCOME
anxiety,HEALTH
paranoia,HEALTH
cancer-related psychological or existential distress,HEALTH
serotoninergic psychedelics,DRUG
anxiolytic-like effects,OUTCOME
anxiety,HEALTH
anxiolytic effects,OUTCOME
serotoninergic psychedelic,DRUG
5-HT2a/2c agonist,NEURAL
5HT2A knockout mice,NEURAL
5HT2A downregulation,NEURAL
anxiety,HEALTH
5HT2A knockout mice,NEURAL
restoration of 5HT2A receptors,OUTCOME
anxiety,HEALTH
fronto-limbic 5HT2A density,NEURAL
anxiety,HEALTH
5HT2A downregulation,NEURAL
rapid and sustained anxiolytic effects,OUTCOME
psilocybin,DRUG
serotoninergic psychedelics,DRUG
rapid and sustained anti-depressant effects,OUTCOME
ayahuasca,DRUG
psilocybin,DRUG
enduring anti-depressant effects,OUTCOME
5HT2A agonists,NEURAL
depression,HEALTH
5HT2A receptor,NEURAL
5HT2A receptor expression,NEURAL
depression,HEALTH
suicidality,HEALTH
depressed patients,HEALTH
increased PFC 5HT2A receptor binding,OUTCOME
selective serotonin reuptake inhibitors,ANTIDEPRESSANT_DRUG
tricyclic anti-depressants),ANTIDEPRESSANT_DRUG
reduction of 5HT2A receptor density,OUTCOME
glutamate system,NEURAL
anti-depressant effects,OUTCOME
psilocybin,DRUG
serotoninergic psychedelics,DRUG
enhance cortical glutamatergic transmission,OUTCOME
PFC,NEURAL
increase activation of cortical α-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid (AMPA) receptors,OUTCOME
brain-derived neurotrophic factor,NEURAL
neocortical areas,NEURAL
BDNF expression,OUTCOME
anti-depressant effects,OUTCOME
AMPA activation,NEURAL
decreased cortical BDNF,OUTCOME
major depression,HEALTH
anti-depressant treatment,OUTCOME
ketamine,DRUG
anti-depressant effects,OUTCOME
cortical AMPA activation,NEURAL
anti-depressant effects,OUTCOME
ketamine,DRUG
TRD,HEALTH
psilocybin,DRUG
anti-depressant mechanisms of action,OUTCOME
brain structure activity and network connectivity,NEURAL
psilocybin,DRUG
decreased activity in,OUTCOME
PFC,NEURAL
decreased connectivity,OUTCOME
default mode network,NEURAL
depressive symptoms,HEALTH
PFC,NEURAL
normalization of medial PFC activity,OUTCOME
anti-depressant treatment,OUTCOME
major depression,HEALTH
increased DMN connectivity,OUTCOME
psilocybin,DRUG
mystical-type experiences,SUBJECTIVE
cancer patients,HEALTH
subjective mystical experience,SUBJECTIVE
clinical benefit,OUTCOME
anxiety,HEALTH
depression,HEALTH
psycho-spiritual distress,HEALTH
terminal cancer,HEALTH
mystical experience,SUBJECTIVE
therapeutic effect,OUTCOME
psilocybin,DRUG
tobacco addiction,HEALTH
alcoholism,HEALTH
mystical experience,SUBJECTIVE
improved clinical outcomes,OUTCOME
psycho-spiritual mechanism of action,OUTCOME
mystical state of consciousness,SUBJECTIVE
mystical experience,SUBJECTIVE
psilocybin,DRUG
anxiety,HEALTH
depression,HEALTH
mystical experience,SUBJECTIVE
anxiety,HEALTH
depression,HEALTH
mystical experiences,SUBJECTIVE
psychotomimetic (psychosis mimicking,OUTCOME
mescaline,DRUG
psychedelic drug,DRUG
peyote,DRUG
Osmond,DRUG
mescaline,DRUG
psychedelics,DRUG
Osmond,DRUG
psychotomimetics,DRUG
hallucinogens,DRUG
phanerothyme,DRUG
psychedelic,DRUG
mind,SUBJECTIVE
soul”,SUBJECTIVE
dclôsē,DRUG
psychedelic,DRUG
psychedelic,DRUG
extraordinary psychological properties,OUTCOME
lysergic acid diethylamide,DRUG
LSD,DRUG
extraordinary psychological properties,OUTCOME
lysergic acid diethylamide,DRUG
LSD,DRUG
LSD,DRUG
psychologically agitative,OUTCOME
LSD,DRUG
disturbing the barrier of repression,OUTCOME
psychedelics,DRUG
psychedelics,DRUG
psychedelics,DRUG
psychedelics,DRUG
negative impact on legitimate scientific research,OUTCOME
psychedelics,DRUG
psychedelic,DRUG
Psychedelics,DRUG
psychological defenses,OUTCOME
personal conflicts,OUTCOME
ego,SUBJECTIVE
profound existential or “peak” experiences,OUTCOME
lasting positive impact on behavior and outlook,OUTCOME
spontaneous insights,OUTCOME
self,SUBJECTIVE
nature,SUBJECTIVE
psychedelics,DRUG
ego-dissolution,SUBJECTIVE
disintegration,OUTCOME
psychedelics,DRUG
LSD,DRUG
…,DRUG
LSD,DRUG
cognitive revolution,OUTCOME
Psychoanalytic theory influence significantly waned,OUTCOME
psychoanalysis,NEURAL
psychoanalysis,NEURAL
considerable explanatory value,OUTCOME
psychedelics,DRUG
psychedelic drugs,DRUG
dreams,OUTCOME
privileged access to the workings of the unconscious mind,OUTCOME
dreaming,OUTCOME
lucid dreaming,OUTCOME
dream experience,SUBJECTIVE
mind sciences,SUBJECTIVE
psychedelics,DRUG
mind,NEURAL
brain,NEURAL
mind,NEURAL
psychedelics,DRUG
maintenance of normal waking consciousness,OUTCOME
psychedelic drugs,DRUG
brain,NEURAL
cellular,NEURAL
psychedelics,DRUG
alter brain function to alter consciousness,OUTCOME
psychedelics,DRUG
psychedelics,DRUG
psychedelics,DRUG
brain,NEURAL
consciousness,SUBJECTIVE
altered states of consciousness,SUBJECTIVE
psychedelic state,SUBJECTIVE
psychedelic state,SUBJECTIVE
regressive8 style of cognition,OUTCOME
REM sleep,SUBJECTIVE
mind,NEURAL
brain,NEURAL
psychedelic,DRUG
unconscious mind,SUBJECTIVE
psychedelics,DRUG
psychedelics,DRUG
low risk of harm,OUTCOME
AYA,DRUG
antidepressive effects,OUTCOME
depression,HEALTH
antidepressant potential,OUTCOME
AYA,DRUG
hopelessness symptoms,OUTCOME
AYA,DRUG
therapeutic action,OUTCOME
antidepressants,ANTIDEPRESSANT_DRUG
fast antidepressant action,OUTCOME
AYA,DRUG
fast antidepressant action,OUTCOME
AYA,DRUG
faster reductions in depressive symptoms,OUTCOME
antidepressant effects,OUTCOME
AYA alkaloids,DRUG
depression,HEALTH
symptoms increased on D14,OUTCOME
significant decrease occurred on D21 in both scales,OUTCOME
decreases and increases in depressive symptoms,OUTCOME
AYA,DRUG
complex intracellular events that remain active after the acute effects,OUTCOME
AYA,DRUG
antidepressive effects,OUTCOME
ketamine,DRUG
increased synaptogenesis,NEURAL
spine formation,NEURAL
brain-derived neurotrophic factor,NEURAL
BDNF,NEURAL
harmine,DRUG
antidepressive effects,OUTCOME
increases in BDNF levels,OUTCOME
harmine,DRUG
THH,DRUG
harmaline,DRUG
"potent natural, selective, reversible, and competitive inhibitors of the MAO enzyme",OUTCOME
"MAO-A subtype.9,36",NEURAL
THH,DRUG
selective serotonin reuptake inhibitor,ANTIDEPRESSANT_DRUG
"MAOI.9,37",NEURAL
systems - MAO,NEURAL
serotonin reuptake,NEURAL
elevated levels of brain serotonin,OUTCOME
monoamines,NEURAL
antidepressant effects,OUTCOME
AYA,DRUG
antidepressive and anxiolytic effects,OUTCOME
panic-related signs,OUTCOME
AYA,DRUG
AYA,DRUG
"sensory, cognitive, or affective modifications",OUTCOME
AYA,DRUG
subjective effects,OUTCOME
AYA,DRUG
DMT,DRUG
DMT,DRUG
AYA,DRUG
DMT,DRUG
psychotropic effects,OUTCOME
AYA,DRUG
nonsignificant effects,OUTCOME
AYA,DRUG
changes in sensory perception and thought content,OUTCOME
essential for therapeutic effects,OUTCOME
AYA,DRUG
AYA,DRUG
depressed patients,HEALTH
good tolerability profile,OUTCOME
AYA,DRUG
psychoactive effects,OUTCOME
AYA,DRUG
mild and short-lived,OUTCOME
AYA,DRUG
nonsignificant increases in blood pressure,OUTCOME
AYA,DRUG
moderate cardiovascular effects,OUTCOME
classical hallucinogens,DRUG
AYA,DRUG
reduced the probability of dysphoric reactions,OUTCOME
Vomiting,OUTCOME
adverse effect,OUTCOME
vomiting,OUTCOME
AYA,DRUG
nausea,OUTCOME
vomiting,OUTCOME
adverse effects,OUTCOME
AYA,DRUG
vomiting,OUTCOME
antidepressive effects,OUTCOME
AYA,DRUG
emetic effect,OUTCOME
severe discomfort,OUTCOME
AYA,DRUG
AYA,DRUG
experience as pleasant despite the occurrence of vomiting,OUTCOME
emetic effect,OUTCOME
AYA,DRUG
AYA alkaloids,DRUG
AYA,DRUG
AYA,DRUG
less vomiting than oral,OUTCOME
nausea,OUTCOME
vomiting,OUTCOME
simultaneous diarrhea,OUTCOME
AYA,DRUG
purgative effects,OUTCOME
cleansing,OUTCOME
side effects,OUTCOME
adverse effects,OUTCOME
vomiting,OUTCOME
adverse effects,OUTCOME
subtle effects,OUTCOME
adverse effects,OUTCOME
AYA,DRUG
hallucinogenic effects,OUTCOME
AYA,DRUG
AYA,DRUG
depressed patients,HEALTH
AYA,DRUG
5-HT2A receptor antagonist,NEURAL
AYA,DRUG
depression,HEALTH
antidepressive potentials,OUTCOME
AYA,DRUG
faster therapeutic actions,OUTCOME
currently available pharmacological resources,ANTIDEPRESSANT_DRUG
making antidepressive treatment more effective,OUTCOME
antidepressant and anxiolytic effects,OUTCOME
AYA,DRUG
earlier onset of action,OUTCOME
antidepressants,ANTIDEPRESSANT_DRUG
AYA,DRUG
depressive and anxiety symptoms,HEALTH
AYA,DRUG
AYA,DRUG
serotonin receptor subtypes,NEURAL
antidepressants,ANTIDEPRESSANT_DRUG
5-HT2C receptors,NEURAL
DA transmission,NEURAL
vortioxetine,DRUG
5-HT receptors,NEURAL
5-HT6 receptor,NEURAL
agonist trafficking,NEURAL
heterodimers,NEURAL
serotonergic and particularly 5-HT2AR functioning,NEURAL
glutamatergic mechanisms,NEURAL
5-HT2AR signalling,NEURAL
psychedelics,DRUG
5-HT2AR agonist properties,NEURAL
psychedelic compounds,DRUG
5-HT receptors,NEURAL
5-HT1AR (,NEURAL
5-HT2AR agonism,NEURAL
psychedelics,DRUG
5-HT1AR agonism,NEURAL
5-HT2AR agonists,NEURAL
psychological effects,OUTCOME
psychedelics,DRUG
brain serotonin function,NEURAL
serotonin transmission,NEURAL
5-HT1A and 2A receptors,NEURAL
5-HT1A,NEURAL
2A receptors,NEURAL
brain serotonin transmission,NEURAL
psychiatric disorders,HEALTH
5-HT receptor subtypes,NEURAL
5-HT1B receptor,NEURAL
5-HT1A and,NEURAL
2A receptors,NEURAL
opposite effects on single cell activity,OUTCOME
5-HT system,NEURAL
5-HT system,NEURAL
5-HT system,NEURAL
5-HT1AR signalling,NEURAL
5-HT system,NEURAL
5-HT2AR signalling,NEURAL
5-HT2AR agonist,NEURAL
psychedelics,DRUG
MDMA,DRUG
serotonergic manipulations,DRUG
psychedelics,DRUG
brain serotonin function,NEURAL
5-HT2AR signalling,NEURAL
plasticity related processes,OUTCOME
serotonin function,NEURAL
5-HT2AR agonism,NEURAL
complex subjective effects,OUTCOME
5-HT2AR agonist,NEURAL
psychedelics,DRUG
MDMA,DRUG
brain,NEURAL
5-HT2AR agonist,NEURAL
psychedelics,DRUG
MDMA,DRUG
medicinal value,OUTCOME
compounds,DRUG
5-HT2AR signalling,NEURAL
maintenance of normal levels of cognitive flexibility,OUTCOME
high ‘absorption,OUTCOME
adaptation and change,OUTCOME
MDMA,DRUG
5-HT2AR agonist,NEURAL
psychedelics,DRUG
psychedelic,DRUG
mind-revealing,SUBJECTIVE
5-HT2AR signalling,NEURAL
enhancing plasticity and adaptability,OUTCOME
5-HT2AR is,NEURAL
brain regions,NEURAL
5-HT2AR expression,NEURAL
default-mode network,NEURAL
self-consciousness,SUBJECTIVE
self,SUBJECTIVE
ego,SUBJECTIVE
network level effects,OUTCOME
psychedelics,DRUG
5-HT2ARs are,NEURAL
remarkable adaptability,OUTCOME
sense of self,SUBJECTIVE
psychedelics,DRUG
psilocybe,DRUG
neocortex,NEURAL
serotonergic system,NEURAL
optimal adaptability,OUTCOME
5-HT2AR signalling,NEURAL
5-HT2AR signalling,NEURAL
exceptional function,OUTCOME
5-HT2AR dense cortex,NEURAL
agonist radioligands,DRUG
5-HT2AR,NEURAL
5-HT2AR high affinity state,NEURAL
psychedelic state,SUBJECTIVE
brain,NEURAL
psychedelic state,SUBJECTIVE
heightened plasticity,OUTCOME
brain serotonin,NEURAL
brain serotonin,NEURAL
brain,NEURAL
behavioural effects,OUTCOME
serotonergic drugs,DRUG
MDMA,DRUG
5-HT2AR agonist,NEURAL
psychedelics,DRUG
hippocampal 5-HT1AR signalling,NEURAL
resilience,OUTCOME
5-HT2AR functioning,NEURAL
5-HT2AR functioning,NEURAL
5-HT,NEURAL
serotonin,NEURAL
postsynaptic 5-HT1AR signalling,NEURAL
passive coping,OUTCOME
5-HT1AR signalling,NEURAL
5-HT2AR signalling,NEURAL
engagement of 5-HT receptor subtypes,NEURAL
serotonin and plasticity,NEURAL
5-HT2AR signalling,NEURAL
plasticity,OUTCOME
optimal adaptability,OUTCOME
serotonin,NEURAL
adaptive homeostasis,OUTCOME
receptor specific,HEALTH
5-HT transmission,NEURAL
mood,OUTCOME
punishment,SUBJECTIVE
5-HT release,NEURAL
depression,HEALTH
serotonergic functioning,NEURAL
depression,HEALTH
increased 5-HT release,OUTCOME
stress,HEALTH
5-HT1AR signalling,NEURAL
rapid plasticity,OUTCOME
5-HT2AR signalling,NEURAL
serotonergic psychedelics,DRUG
changes in mood,OUTCOME
brain function,NEURAL
drugs,DRUG
