,entity 1,entity 1 label,entity 2,entity 2 label,type
235,subjective mystical experience,SUBJECTIVE,depression,HEALTH,POSITIVELY IMPACTS
236,mystical experience,SUBJECTIVE,cancer patients,HEALTH,POSITIVELY IMPACTS
237,mystical experience,SUBJECTIVE,clinical benefit,OUTCOME,POSITIVELY IMPACTS
238,mystical experience,SUBJECTIVE,anxiety,HEALTH,POSITIVELY IMPACTS
239,mystical experience,SUBJECTIVE,depression,HEALTH,POSITIVELY IMPACTS
240,mystical experience,SUBJECTIVE,terminal cancer,HEALTH,POSITIVELY IMPACTS
241,mystical experience,SUBJECTIVE,improved clinical outcomes,OUTCOME,POSITIVELY IMPACTS
242,psilocybin,DRUG,clinical benefit,OUTCOME,POSITIVELY IMPACTS
245,psilocybin,DRUG,terminal cancer,HEALTH,POSITIVELY IMPACTS
246,psilocybin,DRUG,tobacco addiction,HEALTH,POSITIVELY IMPACTS
247,psilocybin,DRUG,alcoholism,HEALTH,POSITIVELY IMPACTS
248,psilocybin,DRUG,improved clinical outcomes,OUTCOME,POSITIVELY IMPACTS
249,psilocybin,DRUG,psycho-spiritual mechanism of action,OUTCOME,POSITIVELY IMPACTS
250,psilocybin,DRUG,mystical state of consciousness,SUBJECTIVE,POSITIVELY IMPACTS
255,psychedelic,DRUG,self,SUBJECTIVE,POSITIVELY IMPACTS
256,Psychedelics,DRUG,self,SUBJECTIVE,POSITIVELY IMPACTS
257,personal conflicts,OUTCOME,ego,SUBJECTIVE,POSITIVELY IMPACTS
258,personal conflicts,OUTCOME,self,SUBJECTIVE,POSITIVELY IMPACTS
259,profound existential or “peak” experiences,OUTCOME,self,SUBJECTIVE,POSITIVELY IMPACTS
260,lasting positive impact on behavior and outlook,OUTCOME,self,SUBJECTIVE,POSITIVELY IMPACTS
261,nature,SUBJECTIVE,ego,SUBJECTIVE,POSITIVELY IMPACTS
262,nature,SUBJECTIVE,self,SUBJECTIVE,POSITIVELY IMPACTS
263,psychedelics,DRUG,self,SUBJECTIVE,POSITIVELY IMPACTS
264,disintegration,OUTCOME,self,SUBJECTIVE,POSITIVELY IMPACTS
266,psychoanalysis,NEURAL,considerable explanatory value,OUTCOME,POSITIVELY IMPACTS
267,AYA,DRUG,antidepressive effects,OUTCOME,POSITIVELY IMPACTS
268,AYA,DRUG,depression,HEALTH,POSITIVELY IMPACTS
269,AYA,DRUG,therapeutic action,OUTCOME,POSITIVELY IMPACTS
272,AYA,DRUG,faster reductions in depressive symptoms,OUTCOME,POSITIVELY IMPACTS
274,ketamine,DRUG,antidepressive effects,OUTCOME,POSITIVELY IMPACTS
277,ketamine,DRUG,brain-derived neurotrophic factor,NEURAL,POSITIVELY IMPACTS
278,THH,DRUG,brain-derived neurotrophic factor,NEURAL,POSITIVELY IMPACTS
279,THH,DRUG,systems - MAO,NEURAL,POSITIVELY IMPACTS
280,THH,DRUG,elevated levels of brain serotonin,OUTCOME,POSITIVELY IMPACTS
281,THH,DRUG,antidepressant effects,OUTCOME,POSITIVELY IMPACTS
282,AYA,DRUG,depressed patients,HEALTH,POSITIVELY IMPACTS
285,AYA,DRUG,experience as pleasant despite the occurrence of vomiting,OUTCOME,POSITIVELY IMPACTS
290,purgative effects,OUTCOME,cleansing,OUTCOME,POSITIVELY IMPACTS
294,AYA,DRUG,antidepressive potentials,OUTCOME,POSITIVELY IMPACTS
295,AYA,DRUG,faster therapeutic actions,OUTCOME,POSITIVELY IMPACTS
296,AYA,DRUG,making antidepressive treatment more effective,OUTCOME,POSITIVELY IMPACTS
297,psychedelics,DRUG,plasticity related processes,OUTCOME,POSITIVELY IMPACTS
298,compounds,DRUG,MDMA,DRUG,POSITIVELY IMPACTS
299,compounds,DRUG,medicinal value,OUTCOME,POSITIVELY IMPACTS
300,psychedelic,DRUG,enhancing plasticity and adaptability,OUTCOME,POSITIVELY IMPACTS
301,psychedelics,DRUG,self-consciousness,SUBJECTIVE,POSITIVELY IMPACTS
303,psychedelics,DRUG,sense of self,SUBJECTIVE,POSITIVELY IMPACTS
304,psilocybe,DRUG,sense of self,SUBJECTIVE,POSITIVELY IMPACTS
305,brain serotonin,NEURAL,resilience,OUTCOME,POSITIVELY IMPACTS
306,serotonin,NEURAL,engagement of 5-HT receptor subtypes,NEURAL,POSITIVELY IMPACTS
307,serotonin,NEURAL,mood,OUTCOME,POSITIVELY IMPACTS
308,serotonergic psychedelics,DRUG,changes in mood,OUTCOME,POSITIVELY IMPACTS
309,serotonergic psychedelics,DRUG,brain function,NEURAL,POSITIVELY IMPACTS
310,drugs,DRUG,changes in mood,OUTCOME,POSITIVELY IMPACTS
311,drugs,DRUG,brain function,NEURAL,POSITIVELY IMPACTS
312,psychedelics,DRUG,changes in mood,OUTCOME,POSITIVELY IMPACTS
313,psychedelics,DRUG,brain function,NEURAL,POSITIVELY IMPACTS
315,psychedelics,DRUG,transiently increasing the size of dendritic spines on cortical neurons,OUTCOME,POSITIVELY IMPACTS
316,DOI,DRUG,cell line of neuronal lineage,NEURAL,POSITIVELY IMPACTS
317,psychedelics,DRUG,cell line of neuronal lineage,NEURAL,POSITIVELY IMPACTS
318,ketamine,DRUG,tryptamine,DRUG,POSITIVELY IMPACTS
319,ketamine,DRUG,GLYX-13,NEURAL,POSITIVELY IMPACTS
320,LSD,DRUG,invertebrate,DRUG,POSITIVELY IMPACTS
321,psychedelics,DRUG,invertebrate,DRUG,POSITIVELY IMPACTS
322,psychedelics,DRUG,brain,NEURAL,POSITIVELY IMPACTS
323,psychedelics,DRUG,promote changes in the density of dendritic spines,OUTCOME,POSITIVELY IMPACTS
324,psychedelics,DRUG,spontaneous EPSCs,NEURAL,POSITIVELY IMPACTS
326,compounds,DRUG,spontaneous EPSCs,NEURAL,POSITIVELY IMPACTS
328,psychedelics,DRUG,profound perceptual disturbances,OUTCOME,POSITIVELY IMPACTS
329,compounds,DRUG,profound perceptual disturbances,OUTCOME,POSITIVELY IMPACTS
330,compounds,DRUG,promoting plasticity,OUTCOME,POSITIVELY IMPACTS
331,compounds,DRUG,neuropsychiatric diseases,HEALTH,POSITIVELY IMPACTS
332,TrkB,NEURAL,promoting plasticity,OUTCOME,POSITIVELY IMPACTS
333,TrkB,NEURAL,neuropsychiatric diseases,HEALTH,POSITIVELY IMPACTS
335,psychedelics,DRUG,non-hallucinogenic analogs,DRUG,POSITIVELY IMPACTS
336,psychedelics,DRUG,promoting plasticity,OUTCOME,POSITIVELY IMPACTS
337,psychedelics,DRUG,neuropsychiatric diseases,HEALTH,POSITIVELY IMPACTS
338,psychedelics,DRUG,therapeutic effects,OUTCOME,POSITIVELY IMPACTS
345,non-hallucinogenic analogs,DRUG,promoting plasticity,OUTCOME,POSITIVELY IMPACTS
346,non-hallucinogenic analogs,DRUG,neuropsychiatric diseases,HEALTH,POSITIVELY IMPACTS
351,psychedelics,DRUG,promoting the growth of both neurites and dendritic spines,OUTCOME,POSITIVELY IMPACTS
357,ketamine,DRUG,promoting the growth of both neurites and dendritic spines,OUTCOME,POSITIVELY IMPACTS
360,efficacy,OUTCOME,depression,HEALTH,POSITIVELY IMPACTS
361,efficacy,OUTCOME,anxiety,HEALTH,POSITIVELY IMPACTS
362,psychedelic,DRUG,cost-effectiveness,OUTCOME,POSITIVELY IMPACTS
363,psilocybin,DRUG,therapeutic actions,OUTCOME,POSITIVELY IMPACTS
364,SSRIs,ANTIDEPRESSANT_DRUG,therapeutic actions,OUTCOME,POSITIVELY IMPACTS
365,ayahuasca,DRUG,rapid and sustained antidepressive effects,OUTCOME,POSITIVELY IMPACTS
366,ayahuasca,DRUG,subgenual area,NEURAL,POSITIVELY IMPACTS
367,ayahuasca,DRUG,brain,NEURAL,POSITIVELY IMPACTS
368,ayahuasca,DRUG,drug effects,OUTCOME,POSITIVELY IMPACTS
369,ayahuasca,DRUG,depressed mood,HEALTH,POSITIVELY IMPACTS
371,ayahuasca,DRUG,feelings of guilt,OUTCOME,POSITIVELY IMPACTS
376,ayahuasca,DRUG,emotional withdrawal,OUTCOME,POSITIVELY IMPACTS
377,ayahuasca,DRUG,bipolar disorder,HEALTH,POSITIVELY IMPACTS
379,ayahuasca,DRUG,antidepressive effects.13–17,OUTCOME,POSITIVELY IMPACTS
383,LSD,DRUG,antidepressive effects.13–17,OUTCOME,POSITIVELY IMPACTS
384,LSD,DRUG,ayahuasca25,DRUG,POSITIVELY IMPACTS
385,ayahuasca,DRUG,psychoactive effects,OUTCOME,POSITIVELY IMPACTS
386,ketamine,DRUG,antidepressant drug,ANTIDEPRESSANT_DRUG,POSITIVELY IMPACTS
389,ketamine,DRUG,immediate effects on many behavioral tests,OUTCOME,POSITIVELY IMPACTS
397,ketamine,DRUG,rapid and sustained molecular alterations,OUTCOME,POSITIVELY IMPACTS
398,BCl,DRUG,rapid and sustained molecular alterations,OUTCOME,POSITIVELY IMPACTS
399,ketamine,DRUG,neuronal survival,NEURAL,POSITIVELY IMPACTS
402,TRD,HEALTH,neuronal survival,NEURAL,POSITIVELY IMPACTS
403,TRD,HEALTH,mTOR,NEURAL,POSITIVELY IMPACTS
404,TRD,HEALTH,synaptic plasticity,NEURAL,POSITIVELY IMPACTS
406,psilocybin,DRUG,hallucinogen,DRUG,POSITIVELY IMPACTS
408,psilocybin,DRUG,less positive clinical outcomes,OUTCOME,POSITIVELY IMPACTS
409,psilocybin,DRUG,long-term positive clinical outcomes,OUTCOME,POSITIVELY IMPACTS
410,catharsis,DRUG,emotional insight,OUTCOME,POSITIVELY IMPACTS
411,catharsis,DRUG,closure,OUTCOME,POSITIVELY IMPACTS
417,mystical-type experience,SUBJECTIVE,brain systems,NEURAL,POSITIVELY IMPACTS
418,psychedelic,DRUG,post-acute brain effects,OUTCOME,POSITIVELY IMPACTS
419,psychedelic,DRUG,"modular disintegration14,15,28",OUTCOME,POSITIVELY IMPACTS
420,psychedelic,DRUG,depression,HEALTH,POSITIVELY IMPACTS
421,psychedelic,DRUG,decreased CBF,OUTCOME,POSITIVELY IMPACTS
422,LSD14,DRUG,decreased CBF,OUTCOME,POSITIVELY IMPACTS
423,LSD14,DRUG,amygdala,NEURAL,POSITIVELY IMPACTS
424,LSD14,DRUG,depressed mood,HEALTH,POSITIVELY IMPACTS
425,sgACC,NEURAL,depressed mood,HEALTH,POSITIVELY IMPACTS
426,ECT,ANTIDEPRESSANT_DRUG,depression,HEALTH,POSITIVELY IMPACTS
427,amygdala45,NEURAL,amygdala,NEURAL,POSITIVELY IMPACTS
428,increased CBF,OUTCOME,metabolism in,ANTIDEPRESSANT_DRUG,POSITIVELY IMPACTS
429,increased CBF,OUTCOME,"mood disorders25,43,44",HEALTH,POSITIVELY IMPACTS
430,increased CBF,OUTCOME,amygdala,NEURAL,POSITIVELY IMPACTS
431,increased CBF,OUTCOME,increase in CBF,OUTCOME,POSITIVELY IMPACTS
432,increased CBF,OUTCOME,decreased CBF,OUTCOME,POSITIVELY IMPACTS
433,increased CBF,OUTCOME,increases in brain absolute CBF30,OUTCOME,POSITIVELY IMPACTS
434,increased CBF,OUTCOME,depression,HEALTH,POSITIVELY IMPACTS
435,LSD15,DRUG,amygdala,NEURAL,POSITIVELY IMPACTS
436,increased glucose metabolism,OUTCOME,amygdala,NEURAL,POSITIVELY IMPACTS
437,citalopram,ANTIDEPRESSANT_DRUG,amygdala,NEURAL,POSITIVELY IMPACTS
438,psilocybin,DRUG,neuropsychiatric disorders,HEALTH,POSITIVELY IMPACTS
439,psilocybin,DRUG,biases emotional processing,OUTCOME,POSITIVELY IMPACTS
440,ketanserin,ANTIDEPRESSANT_DRUG,biases emotional processing,OUTCOME,POSITIVELY IMPACTS
441,ketanserin,ANTIDEPRESSANT_DRUG,anxiety,HEALTH,POSITIVELY IMPACTS
442,ketanserin,ANTIDEPRESSANT_DRUG,mood effects,OUTCOME,POSITIVELY IMPACTS
445,psilocybin,DRUG,mood effects,OUTCOME,POSITIVELY IMPACTS
446,Psilocybin,DRUG,increase in the positive affect but not negative affect,OUTCOME,POSITIVELY IMPACTS
448,Psilocybin,DRUG,mood effects,OUTCOME,POSITIVELY IMPACTS
449,Psilocybin,DRUG,tryptophan depletion,NEURAL,POSITIVELY IMPACTS
452,ketanserin,DRUG,tryptophan depletion,NEURAL,POSITIVELY IMPACTS
453,ketanserin,DRUG,mood,OUTCOME,POSITIVELY IMPACTS
454,ketanserin,DRUG,mood-enhancing effects,OUTCOME,POSITIVELY IMPACTS
458,ketanserin,DRUG,5-HT2A antagonist,NEURAL,POSITIVELY IMPACTS
461,ketanserin,DRUG,5-HT2A,NEURAL,POSITIVELY IMPACTS
462,ketanserin,DRUG,5-HT2C receptors,NEURAL,POSITIVELY IMPACTS
463,ketanserin,DRUG,Mental Health,HEALTH,POSITIVELY IMPACTS
464,ketanserin,DRUG,serotonin 2B/5-HT2C agonist,NEURAL,POSITIVELY IMPACTS
472,psilocybin,DRUG,increase in reaction times to negative and neutral,OUTCOME,POSITIVELY IMPACTS
473,psilocybin,DRUG,decreased reaction times,OUTCOME,POSITIVELY IMPACTS
474,psilocybin,DRUG,event-related potentials,OUTCOME,POSITIVELY IMPACTS
475,psilocybin,DRUG,word valence,SUBJECTIVE,POSITIVELY IMPACTS
476,psilocybin,DRUG,attention,SUBJECTIVE,POSITIVELY IMPACTS
477,psilocybin,DRUG,enhanced P3 component,OUTCOME,POSITIVELY IMPACTS
480,ketanserin,DRUG,event-related potentials,OUTCOME,POSITIVELY IMPACTS
481,ketanserin,DRUG,word valence,SUBJECTIVE,POSITIVELY IMPACTS
482,ketanserin,DRUG,attention,SUBJECTIVE,POSITIVELY IMPACTS
483,ketanserin,DRUG,enhanced P3 component,OUTCOME,POSITIVELY IMPACTS
484,ketanserin,DRUG,decreased the P300 component,OUTCOME,POSITIVELY IMPACTS
488,psilocybin,DRUG,N2,NEURAL,POSITIVELY IMPACTS
490,psilocybin,DRUG,decreased the P300 component,OUTCOME,POSITIVELY IMPACTS
491,psilocybin,DRUG,valence-dependent P300 decrease,OUTCOME,POSITIVELY IMPACTS
492,psilocybin,DRUG,attentional performance,OUTCOME,POSITIVELY IMPACTS
493,psilocybin,DRUG,attenuate the allocation of attentional resources to neutral and negative stimuli,OUTCOME,POSITIVELY IMPACTS
504,psilocybin,DRUG,sustained adaptations,OUTCOME,POSITIVELY IMPACTS
505,psilocybin,DRUG,depressed subjects,HEALTH,POSITIVELY IMPACTS
506,psilocybin,DRUG,increased P300 component,OUTCOME,POSITIVELY IMPACTS
507,psilocybin,DRUG,shift dysfunctional emotional biases,OUTCOME,POSITIVELY IMPACTS
510,psilocybin,DRUG,emotional biases,OUTCOME,POSITIVELY IMPACTS
511,psilocybin,DRUG,negative emotional biases,OUTCOME,POSITIVELY IMPACTS
513,psilocybin,DRUG,negative mood states,SUBJECTIVE,POSITIVELY IMPACTS
514,psilocybin,DRUG,dysfunctional emotional biases,OUTCOME,POSITIVELY IMPACTS
515,psilocybin,DRUG,depressed patients,HEALTH,POSITIVELY IMPACTS
517,ketamine,DRUG,treatment-resistant depression,HEALTH,POSITIVELY IMPACTS
519,ayahuasca,DRUG,treatment-resistant depression,HEALTH,POSITIVELY IMPACTS
520,ayahuasca,DRUG,mood disorders,HEALTH,POSITIVELY IMPACTS
522,ayahuasca,DRUG,depressive symptoms,OUTCOME,POSITIVELY IMPACTS
523,ayahuasca,DRUG,enhanced mindfulness-related capacities,OUTCOME,POSITIVELY IMPACTS
528,ayahuasca,DRUG,Brain circuits,NEURAL,POSITIVELY IMPACTS
530,ayahuasca,DRUG,brain regions,NEURAL,POSITIVELY IMPACTS
531,ayahuasca,DRUG,left subgenual area,NEURAL,POSITIVELY IMPACTS
535,ayahuasca,DRUG,meditation practices,OUTCOME,POSITIVELY IMPACTS
542,psychedelic,DRUG,anxiety,HEALTH,POSITIVELY IMPACTS
543,psychedelic,DRUG,depressive symptoms,OUTCOME,POSITIVELY IMPACTS
544,psychedelic,DRUG,enhanced mindfulness-related capacities,OUTCOME,POSITIVELY IMPACTS
546,psychedelics,DRUG,treatment-resistant depression,HEALTH,POSITIVELY IMPACTS
547,psychedelics,DRUG,depression,HEALTH,POSITIVELY IMPACTS
548,psychedelics,DRUG,double blindness,OUTCOME,POSITIVELY IMPACTS
549,psychedelics,DRUG,anxiety,HEALTH,POSITIVELY IMPACTS
550,ayahuasca,DRUG,double blindness,OUTCOME,POSITIVELY IMPACTS
553,ayahuasca,DRUG,alcohol dependence,HEALTH,POSITIVELY IMPACTS
554,psychedelics,DRUG,alcohol dependence,HEALTH,POSITIVELY IMPACTS
556,LSD,DRUG,antiaddictive,OUTCOME,POSITIVELY IMPACTS
557,psilocybin,DRUG,antiaddictive,OUTCOME,POSITIVELY IMPACTS
559,ayahuasca,DRUG,antiaddictive,OUTCOME,POSITIVELY IMPACTS
560,psilocybin,DRUG,therapeutic potentials,OUTCOME,POSITIVELY IMPACTS
561,LSD,DRUG,therapeutic potentials,OUTCOME,POSITIVELY IMPACTS
562,DMT,DRUG,therapeutic potentials,OUTCOME,POSITIVELY IMPACTS
565,LSD,DRUG,depressed patients,HEALTH,POSITIVELY IMPACTS
566,serotonin 5-HT1A/2A/2C receptors,NEURAL,therapeutic potentials,OUTCOME,POSITIVELY IMPACTS
567,5-HT1A/2A/2C receptor,NEURAL,depression,HEALTH,POSITIVELY IMPACTS
571,psilocybin,DRUG,hippocampus,NEURAL,POSITIVELY IMPACTS
575,DMT,DRUG,"chemokine (Mcp-1, Cx3cl1) genes",NEURAL,POSITIVELY IMPACTS
576,DMT,DRUG,Th1/Th17 responses,NEURAL,POSITIVELY IMPACTS
577,THH,DRUG,Th1/Th17 responses,NEURAL,POSITIVELY IMPACTS
578,harmine,DRUG,depression,HEALTH,POSITIVELY IMPACTS
579,harmine,DRUG,antioxidant and neuroprotective effects,OUTCOME,POSITIVELY IMPACTS
580,psilocybin,DRUG,antiaddictive potentials,OUTCOME,POSITIVELY IMPACTS
582,compounds,DRUG,intensification of the self-reference process of rumination,OUTCOME,POSITIVELY IMPACTS
585,ayahuasca,DRUG,drug dependence,OUTCOME,POSITIVELY IMPACTS
587,psilocybin,DRUG,mood disorders,HEALTH,POSITIVELY IMPACTS
588,psilocybin,DRUG,drug dependence,OUTCOME,POSITIVELY IMPACTS
589,altered state of consciousness,SUBJECTIVE,anxiety,HEALTH,POSITIVELY IMPACTS
590,altered state of consciousness,SUBJECTIVE,mood disorders,HEALTH,POSITIVELY IMPACTS
591,altered state of consciousness,SUBJECTIVE,drug dependence,OUTCOME,POSITIVELY IMPACTS
592,classical hallucinogens,DRUG,mood disorders,HEALTH,POSITIVELY IMPACTS
593,psilocybin,DRUG,induces highly meaningful and spiritually significant experiences,OUTCOME,POSITIVELY IMPACTS
595,psilocybin,DRUG,smoking cessation,OUTCOME,POSITIVELY IMPACTS
599,LSD,DRUG,tobacco dependence,OUTCOME,POSITIVELY IMPACTS
600,LSD,DRUG,spiritual significance,OUTCOME,POSITIVELY IMPACTS
