,entity 1,entity 1 label,entity 2,entity 2 label,type,source
19,psilocybin,DRUG,no untoward cardiovascular sequelae,OUTCOME,THOUGHT TO CAUSE,9a11e128760948c78f95d7f0d9f5369790b83f686c75aef444d9e5c7429c6ff6
20,hallucinogens,DRUG,anxiety,HEALTH,POSITIVELY IMPACTS,9a11e128760948c78f95d7f0d9f5369790b83f686c75aef444d9e5c7429c6ff6
21,psilocybin,DRUG,transient effect,OUTCOME,NO RELATIONSHIP FOUND BETWEEN,9a11e128760948c78f95d7f0d9f5369790b83f686c75aef444d9e5c7429c6ff6
22,psilocybin,DRUG,adverse psychological effects,OUTCOME,NO RELATIONSHIP FOUND BETWEEN,9a11e128760948c78f95d7f0d9f5369790b83f686c75aef444d9e5c7429c6ff6
23,psilocybin,DRUG,anxiety,HEALTH,NO RELATIONSHIP FOUND BETWEEN,9a11e128760948c78f95d7f0d9f5369790b83f686c75aef444d9e5c7429c6ff6
24,psilocybin,DRUG,bad trip,OUTCOME,NO RELATIONSHIP FOUND BETWEEN,9a11e128760948c78f95d7f0d9f5369790b83f686c75aef444d9e5c7429c6ff6
25,hallucinogens,DRUG,tolerated the treatment sessions well,OUTCOME,POSITIVELY IMPACTS,9a11e128760948c78f95d7f0d9f5369790b83f686c75aef444d9e5c7429c6ff6
26,hallucinogens,DRUG,modest effects,OUTCOME,POSITIVELY IMPACTS,9a11e128760948c78f95d7f0d9f5369790b83f686c75aef444d9e5c7429c6ff6
27,hallucinogens,DRUG,terminal cancer,HEALTH,POSITIVELY IMPACTS,9a11e128760948c78f95d7f0d9f5369790b83f686c75aef444d9e5c7429c6ff6
28,hallucinogens,DRUG,"therapeutic outcome.10,12",OUTCOME,POSITIVELY IMPACTS,9a11e128760948c78f95d7f0d9f5369790b83f686c75aef444d9e5c7429c6ff6
29,hallucinogens,DRUG,examining how Common illness had impacted Common lives,OUTCOME,POSITIVELY IMPACTS,9a11e128760948c78f95d7f0d9f5369790b83f686c75aef444d9e5c7429c6ff6
30,hallucinogens,DRUG,relationships with family and close friends,OUTCOME,POSITIVELY IMPACTS,9a11e128760948c78f95d7f0d9f5369790b83f686c75aef444d9e5c7429c6ff6
31,hallucinogens,DRUG,sense of ontological security,OUTCOME,POSITIVELY IMPACTS,9a11e128760948c78f95d7f0d9f5369790b83f686c75aef444d9e5c7429c6ff6
32,hallucinogens,DRUG,powerful empathic cathexis to close friends and family members,OUTCOME,POSITIVELY IMPACTS,9a11e128760948c78f95d7f0d9f5369790b83f686c75aef444d9e5c7429c6ff6
33,hallucinogens,DRUG,how subjects wished to address subjects limited life expectancy,OUTCOME,POSITIVELY IMPACTS,9a11e128760948c78f95d7f0d9f5369790b83f686c75aef444d9e5c7429c6ff6
34,hallucinogens,DRUG,pronounced therapeutic effects,OUTCOME,POSITIVELY IMPACTS,9a11e128760948c78f95d7f0d9f5369790b83f686c75aef444d9e5c7429c6ff6
35,psilocybin,DRUG,therapeutic benefit,OUTCOME,POSITIVELY IMPACTS,9a11e128760948c78f95d7f0d9f5369790b83f686c75aef444d9e5c7429c6ff6
36,psilocybin,DRUG,anxiety,HEALTH,POSITIVELY IMPACTS,9a11e128760948c78f95d7f0d9f5369790b83f686c75aef444d9e5c7429c6ff6
37,psilocybin,DRUG,stress,HEALTH,POSITIVELY IMPACTS,9a11e128760948c78f95d7f0d9f5369790b83f686c75aef444d9e5c7429c6ff6
38,psilocybin,DRUG,anxiety,HEALTH,POSITIVELY IMPACTS,9a11e128760948c78f95d7f0d9f5369790b83f686c75aef444d9e5c7429c6ff6
39,psilocybin,DRUG,mood,OUTCOME,POSITIVELY IMPACTS,9a11e128760948c78f95d7f0d9f5369790b83f686c75aef444d9e5c7429c6ff6
40,positive outcome,OUTCOME,mood,OUTCOME,POSITIVELY IMPACTS,9a11e128760948c78f95d7f0d9f5369790b83f686c75aef444d9e5c7429c6ff6
41,psilocybin,DRUG,mood,OUTCOME,POSITIVELY IMPACTS,9a11e128760948c78f95d7f0d9f5369790b83f686c75aef444d9e5c7429c6ff6
42,psilocybin,DRUG,mood,OUTCOME,POSITIVELY IMPACTS,9a11e128760948c78f95d7f0d9f5369790b83f686c75aef444d9e5c7429c6ff6
43,psilocybin,DRUG,robust reductions in pain perception,OUTCOME,NEEDS MORE RESEARCH BETWEEN,9a11e128760948c78f95d7f0d9f5369790b83f686c75aef444d9e5c7429c6ff6
44,psilocybin,DRUG,mood-elevating effects,OUTCOME,POSITIVELY IMPACTS,9a11e128760948c78f95d7f0d9f5369790b83f686c75aef444d9e5c7429c6ff6
45,psilocybin,DRUG,robust reductions in pain perception,OUTCOME,NEEDS MORE RESEARCH BETWEEN,9a11e128760948c78f95d7f0d9f5369790b83f686c75aef444d9e5c7429c6ff6
46,psilocybin,DRUG,lessened need for narcotic pain medication,OUTCOME,NO RELATIONSHIP FOUND BETWEEN,9a11e128760948c78f95d7f0d9f5369790b83f686c75aef444d9e5c7429c6ff6
47,psilocybin,DRUG,therapeutic effects,OUTCOME,THOUGHT TO CAUSE,9a11e128760948c78f95d7f0d9f5369790b83f686c75aef444d9e5c7429c6ff6
48,psilocybin,DRUG,strong therapeutic bonds,OUTCOME,POSITIVELY IMPACTS,9a11e128760948c78f95d7f0d9f5369790b83f686c75aef444d9e5c7429c6ff6
49,psilocybin,DRUG,ameliorating underlying psychological demoralization,OUTCOME,POSITIVELY IMPACTS,9a11e128760948c78f95d7f0d9f5369790b83f686c75aef444d9e5c7429c6ff6
50,psilocybin,DRUG,existential anxiety,HEALTH,POSITIVELY IMPACTS,9a11e128760948c78f95d7f0d9f5369790b83f686c75aef444d9e5c7429c6ff6
51,psilocybin,DRUG,despair,HEALTH,POSITIVELY IMPACTS,9a11e128760948c78f95d7f0d9f5369790b83f686c75aef444d9e5c7429c6ff6
52,psilocybin,DRUG,existential anxiety,HEALTH,POSITIVELY IMPACTS,9a11e128760948c78f95d7f0d9f5369790b83f686c75aef444d9e5c7429c6ff6
53,psilocybin,DRUG,despair,HEALTH,POSITIVELY IMPACTS,9a11e128760948c78f95d7f0d9f5369790b83f686c75aef444d9e5c7429c6ff6
54,safety and promise,OUTCOME,existential anxiety,HEALTH,POSITIVELY IMPACTS,9a11e128760948c78f95d7f0d9f5369790b83f686c75aef444d9e5c7429c6ff6
55,safety and promise,OUTCOME,despair,HEALTH,POSITIVELY IMPACTS,9a11e128760948c78f95d7f0d9f5369790b83f686c75aef444d9e5c7429c6ff6
56,hallucinogenic compounds,DRUG,existential anxiety,HEALTH,POSITIVELY IMPACTS,9a11e128760948c78f95d7f0d9f5369790b83f686c75aef444d9e5c7429c6ff6
57,hallucinogenic compounds,DRUG,despair,HEALTH,POSITIVELY IMPACTS,9a11e128760948c78f95d7f0d9f5369790b83f686c75aef444d9e5c7429c6ff6
58,psilocybin,DRUG,existential anxiety,HEALTH,POSITIVELY IMPACTS,9a11e128760948c78f95d7f0d9f5369790b83f686c75aef444d9e5c7429c6ff6
59,psilocybin,DRUG,despair,HEALTH,POSITIVELY IMPACTS,9a11e128760948c78f95d7f0d9f5369790b83f686c75aef444d9e5c7429c6ff6
60,LSD,DRUG,therapeutic improvement,OUTCOME,POSITIVELY IMPACTS,ac9c65712e00a2d59a49e1f0b04580c9e8adeeae5bb32e40cec97c57d55023d5
61,LSD,DRUG,therapeutic improvement,OUTCOME,POSITIVELY IMPACTS,ac9c65712e00a2d59a49e1f0b04580c9e8adeeae5bb32e40cec97c57d55023d5
62,LSD,DRUG,anxiety,HEALTH,POSITIVELY IMPACTS,ac9c65712e00a2d59a49e1f0b04580c9e8adeeae5bb32e40cec97c57d55023d5
63,LSD,DRUG,depression,HEALTH,POSITIVELY IMPACTS,ac9c65712e00a2d59a49e1f0b04580c9e8adeeae5bb32e40cec97c57d55023d5
64,LSD,DRUG,therapeutic improvement,OUTCOME,POSITIVELY IMPACTS,ac9c65712e00a2d59a49e1f0b04580c9e8adeeae5bb32e40cec97c57d55023d5
65,psilocybin,DRUG,remained in remission,OUTCOME,THOUGHT TO CAUSE,fc18f984870e883325f9e5b23857d46b3508cfc96984fe37c899f699430857ab
66,psilocybin,DRUG,favourable toxicity profile,OUTCOME,POSITIVELY IMPACTS,fc18f984870e883325f9e5b23857d46b3508cfc96984fe37c899f699430857ab
67,psilocybin,DRUG,not associated with compulsive drug-seeking behaviours,OUTCOME,POSITIVELY IMPACTS,fc18f984870e883325f9e5b23857d46b3508cfc96984fe37c899f699430857ab
68,psilocybin,DRUG,depression,HEALTH,POSITIVELY IMPACTS,fc18f984870e883325f9e5b23857d46b3508cfc96984fe37c899f699430857ab
69,ketamine,DRUG,smokers,HEALTH,POSITIVELY IMPACTS,fc18f984870e883325f9e5b23857d46b3508cfc96984fe37c899f699430857ab
70,ketamine,DRUG,anxiety,HEALTH,POSITIVELY IMPACTS,fc18f984870e883325f9e5b23857d46b3508cfc96984fe37c899f699430857ab
71,ketamine,DRUG,depression,HEALTH,POSITIVELY IMPACTS,fc18f984870e883325f9e5b23857d46b3508cfc96984fe37c899f699430857ab
72,psilocybin,DRUG,smokers,HEALTH,POSITIVELY IMPACTS,fc18f984870e883325f9e5b23857d46b3508cfc96984fe37c899f699430857ab
73,psilocybin,DRUG,anxiety,HEALTH,POSITIVELY IMPACTS,fc18f984870e883325f9e5b23857d46b3508cfc96984fe37c899f699430857ab
74,psilocybin,DRUG,depression,HEALTH,POSITIVELY IMPACTS,fc18f984870e883325f9e5b23857d46b3508cfc96984fe37c899f699430857ab
75,psilocybin,DRUG,anxiety,HEALTH,POSITIVELY IMPACTS,fc18f984870e883325f9e5b23857d46b3508cfc96984fe37c899f699430857ab
76,psilocybin,DRUG,clinical improvements,OUTCOME,POSITIVELY IMPACTS,fc18f984870e883325f9e5b23857d46b3508cfc96984fe37c899f699430857ab
77,expectancy bias,OUTCOME,some improvement in all patients depressive symptoms,OUTCOME,NEEDS MORE RESEARCH BETWEEN,fc18f984870e883325f9e5b23857d46b3508cfc96984fe37c899f699430857ab
78,expectancy,OUTCOME,suggestibility,OUTCOME,NEEDS MORE RESEARCH BETWEEN,fc18f984870e883325f9e5b23857d46b3508cfc96984fe37c899f699430857ab
79,suggestibility,OUTCOME,antidepressant,ANTIDEPRESSANT_DRUG,POSITIVELY IMPACTS,fc18f984870e883325f9e5b23857d46b3508cfc96984fe37c899f699430857ab
80,expectancy,OUTCOME,suggestibility,OUTCOME,NEEDS MORE RESEARCH BETWEEN,fc18f984870e883325f9e5b23857d46b3508cfc96984fe37c899f699430857ab
81,Serotonergic antidepressants,ANTIDEPRESSANT_DRUG,expectancy,OUTCOME,NEGATIVELY IMPACTS,fc18f984870e883325f9e5b23857d46b3508cfc96984fe37c899f699430857ab
82,Serotonergic antidepressants,ANTIDEPRESSANT_DRUG,expectancy,OUTCOME,NEGATIVELY IMPACTS,fc18f984870e883325f9e5b23857d46b3508cfc96984fe37c899f699430857ab
83,Serotonergic antidepressants,ANTIDEPRESSANT_DRUG,psilocybin,DRUG,NEGATIVELY IMPACTS,fc18f984870e883325f9e5b23857d46b3508cfc96984fe37c899f699430857ab
84,psychedelics,DRUG,novel pharmacological action,OUTCOME,POSITIVELY IMPACTS,fc18f984870e883325f9e5b23857d46b3508cfc96984fe37c899f699430857ab
85,psilocybin,DRUG,novel pharmacological action,OUTCOME,POSITIVELY IMPACTS,fc18f984870e883325f9e5b23857d46b3508cfc96984fe37c899f699430857ab
86,Psilocybin,DRUG,antidepressant,ANTIDEPRESSANT_DRUG,POSITIVELY IMPACTS,fc18f984870e883325f9e5b23857d46b3508cfc96984fe37c899f699430857ab
87,Psilocybin,DRUG,novel pharmacological action,OUTCOME,POSITIVELY IMPACTS,fc18f984870e883325f9e5b23857d46b3508cfc96984fe37c899f699430857ab
88,psilocybin,DRUG,global increase in glucose metabolism,OUTCOME,THOUGHT TO CAUSE,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
89,psilocybin,DRUG,decreases in resting state LFP power,OUTCOME,THOUGHT TO CAUSE,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
90,serotonin receptor agonist,NEURAL,decreases in resting state LFP power,OUTCOME,THOUGHT TO CAUSE,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
91,serotonin receptor agonist,NEURAL,block the subjective effects,OUTCOME,THOUGHT TO CAUSE,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
92,psychedelics,DRUG,subjective and behavioral effects,OUTCOME,POSITIVELY IMPACTS,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
93,5-HT2A,NEURAL,block the subjective effects,OUTCOME,THOUGHT TO CAUSE,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
94,5-HT2A,NEURAL,GABAergic transmission,NEURAL,THOUGHT TO CAUSE,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
95,5-HT2A,NEURAL,pyramidal cell inhibition,NEURAL,THOUGHT TO CAUSE,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
96,5-HT2A receptor,NEURAL,deactivations observed,OUTCOME,THOUGHT TO CAUSE,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
97,5-HT2A receptor,NEURAL,block the subjective effects,OUTCOME,THOUGHT TO CAUSE,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
98,5-HT2A receptor,NEURAL,GABAergic transmission,NEURAL,THOUGHT TO CAUSE,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
99,5-HT2A receptor,NEURAL,pyramidal cell inhibition,NEURAL,THOUGHT TO CAUSE,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
100,5-HT2A receptor potency,NEURAL,block the subjective effects,OUTCOME,THOUGHT TO CAUSE,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
101,5-HT2A receptor potency,NEURAL,pyramidal cell inhibition,NEURAL,THOUGHT TO CAUSE,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
102,5-HT2A antagonists,NEURAL,block the subjective effects,OUTCOME,THOUGHT TO CAUSE,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
103,5-HT2A antagonists,NEURAL,GABAergic transmission,NEURAL,THOUGHT TO CAUSE,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
104,5-HT2A antagonists,NEURAL,pyramidal cell inhibition,NEURAL,THOUGHT TO CAUSE,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
105,stimulation of 5-HT2A receptors,NEURAL,block the subjective effects,OUTCOME,THOUGHT TO CAUSE,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
106,stimulation of 5-HT2A receptors,NEURAL,GABAergic transmission,NEURAL,THOUGHT TO CAUSE,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
107,stimulation of 5-HT2A receptors,NEURAL,pyramidal cell inhibition,NEURAL,THOUGHT TO CAUSE,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
108,GABAergic transmission,NEURAL,pyramidal cell inhibition,NEURAL,THOUGHT TO CAUSE,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
109,5-HT1A receptor,NEURAL,pyramidal cell inhibition,NEURAL,THOUGHT TO CAUSE,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
110,5-HT2A receptors,NEURAL,block the subjective effects,OUTCOME,THOUGHT TO CAUSE,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
111,5-HT2A receptors,NEURAL,pyramidal cell inhibition,NEURAL,THOUGHT TO CAUSE,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
112,5-HT2A receptors,NEURAL,increases excitation in the host cell,OUTCOME,THOUGHT TO CAUSE,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
113,Stimulation of the 5-HT2A receptor,NEURAL,GABAergic transmission,NEURAL,THOUGHT TO CAUSE,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
114,Stimulation of the 5-HT2A receptor,NEURAL,pyramidal cell inhibition,NEURAL,THOUGHT TO CAUSE,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
115,Stimulation of the 5-HT2A receptor,NEURAL,increases excitation in the host cell,OUTCOME,THOUGHT TO CAUSE,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
116,Stimulation of the 5-HT2A receptor,NEURAL,pyramidal cells,NEURAL,THOUGHT TO CAUSE,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
117,5-HT2A receptor,NEURAL,increases excitation in the host cell,OUTCOME,THOUGHT TO CAUSE,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
118,5-HT2A receptor,NEURAL,pyramidal cells,NEURAL,THOUGHT TO CAUSE,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
119,5-HT2A receptor,OUTCOME,increases excitation in the host cell,OUTCOME,THOUGHT TO CAUSE,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
120,5-HT2A receptor,OUTCOME,pyramidal cells,NEURAL,THOUGHT TO CAUSE,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
121,receptor,NEURAL,mPFC,NEURAL,NEEDS MORE RESEARCH BETWEEN,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
122,receptor,NEURAL,brain,NEURAL,NEEDS MORE RESEARCH BETWEEN,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
123,psilocybin,DRUG,pyramidal cells,NEURAL,THOUGHT TO CAUSE,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
124,psilocybin,DRUG,decreased the PCC blood flow,OUTCOME,THOUGHT TO CAUSE,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
125,psilocybin,DRUG,default-mode network,NEURAL,THOUGHT TO CAUSE,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
126,psilocybin,DRUG,default-mode network,NEURAL,THOUGHT TO CAUSE,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
127,PCC,NEURAL,self,SUBJECTIVE,POSITIVELY IMPACTS,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
128,DMN,NEURAL,ego,SUBJECTIVE,POSITIVELY IMPACTS,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
129,DMN,NEURAL,ego,SUBJECTIVE,POSITIVELY IMPACTS,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
130,connector hubs,OUTCOME,self,SUBJECTIVE,POSITIVELY IMPACTS,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
131,connector hubs,OUTCOME,ego,SUBJECTIVE,POSITIVELY IMPACTS,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
132,connector hubs,OUTCOME,efficient information transfer,OUTCOME,POSITIVELY IMPACTS,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
133,connector hubs,OUTCOME,allowing communication between different regions,OUTCOME,POSITIVELY IMPACTS,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
134,psilocybin,DRUG,efficient information transfer,OUTCOME,POSITIVELY IMPACTS,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
135,psilocybin,DRUG,allowing communication between different regions,OUTCOME,POSITIVELY IMPACTS,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
136,mPFC,NEURAL,asymmetrical change in coupling,OUTCOME,THOUGHT TO CAUSE,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
137,psilocybin,DRUG,asymmetrical change in coupling,OUTCOME,THOUGHT TO CAUSE,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
138,mPFC,NEURAL,mPFC was consistently deactivated,OUTCOME,THOUGHT TO CAUSE,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
139,psilocybin,DRUG,mPFC was consistently deactivated,OUTCOME,THOUGHT TO CAUSE,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
140,subjective effects,OUTCOME,mPFC was consistently deactivated,OUTCOME,THOUGHT TO CAUSE,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
141,cognition is rigidly pessimistic,OUTCOME,mPFC was consistently deactivated,OUTCOME,THOUGHT TO CAUSE,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
142,deficient 5-HT2A receptor stimulation,NEURAL,mPFC was consistently deactivated,OUTCOME,THOUGHT TO CAUSE,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
143,deficient 5-HT2A receptor stimulation,NEURAL,subjective well-being,OUTCOME,THOUGHT TO CAUSE,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
144,mPFC,NEURAL,mPFC was consistently deactivated,OUTCOME,THOUGHT TO CAUSE,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
145,mPFC hyperactivity,NEURAL,mPFC was consistently deactivated,OUTCOME,THOUGHT TO CAUSE,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
146,psilocybin,DRUG,“overstable” state,SUBJECTIVE,POSITIVELY IMPACTS,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
147,psilocybin,DRUG,subjective well-being,OUTCOME,POSITIVELY IMPACTS,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
148,psilocybin,DRUG,trait openness,OUTCOME,POSITIVELY IMPACTS,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
149,psilocybin,DRUG,depression,HEALTH,POSITIVELY IMPACTS,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
150,psilocybin,DRUG,terminal cancer patients,HEALTH,POSITIVELY IMPACTS,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
151,psilocybin,DRUG,decreased CBF in the hypothalamus,OUTCOME,POSITIVELY IMPACTS,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
152,decreased mPFC activity via 5-HT2A receptor stimulation,OUTCOME,subjective well-being,OUTCOME,THOUGHT TO CAUSE,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
153,decreased mPFC activity via 5-HT2A receptor stimulation,OUTCOME,Increased hypothalamic CBF,OUTCOME,THOUGHT TO CAUSE,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
154,psilocybin,DRUG,mPFC,NEURAL,NEEDS MORE RESEARCH BETWEEN,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
155,psilocybin,DRUG,depression,HEALTH,NEEDS MORE RESEARCH BETWEEN,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
156,psychedelics,DRUG,terminal cancer patients,HEALTH,POSITIVELY IMPACTS,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
157,psychedelics,DRUG,decreased CBF in the hypothalamus,OUTCOME,POSITIVELY IMPACTS,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
158,psychedelics,DRUG,cluster headaches,HEALTH,POSITIVELY IMPACTS,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
159,Increased hypothalamic CBF,OUTCOME,cluster headaches,HEALTH,POSITIVELY IMPACTS,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
160,psychedelic state,SUBJECTIVE,cluster headaches,HEALTH,POSITIVELY IMPACTS,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
161,decreased activity and connectivity in the brain's connector hubs,OUTCOME,psychedelic state,SUBJECTIVE,THOUGHT TO CAUSE,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
162,decreased activity and connectivity in the brain's connector hubs,OUTCOME,unconstrained style of cognition,OUTCOME,THOUGHT TO CAUSE,232ea895a7605df532195586be15c479340d7cce246a7052ddc33ae6cf19c449
163,psilocybin,DRUG,"rapid, robust, and sustained clinical benefits",OUTCOME,POSITIVELY IMPACTS,b95aa0485a68024014ed5ef42c08bbb901a2c1492ac7b682dd48705e04589666
164,psilocybin,DRUG,anxiety,HEALTH,POSITIVELY IMPACTS,b95aa0485a68024014ed5ef42c08bbb901a2c1492ac7b682dd48705e04589666
165,psilocybin,DRUG,depression,HEALTH,POSITIVELY IMPACTS,b95aa0485a68024014ed5ef42c08bbb901a2c1492ac7b682dd48705e04589666
